id,pid,code,description,section
65002,34702,0204230099,Other,
2602,702,0204300000,"Carcases and half-carcases of lamb, frozen",
11502,2602,0204300010,Of domestic lamb,
11602,2602,0204300090,Other,
2702,702,,"Other meat of sheep, frozen",
11702,2702,0204410000,Carcases and half-carcases,
34802,11702,0204410010,Of domestic sheep,
34902,11702,0204410090,Other,
11802,2702,0204420000,Other cuts with bone in,
35002,11802,0204421000,Short forequarters,
65102,35002,0204421010,Of domestic sheep,
65202,35002,0204421090,Other,
35102,11802,0204423000,Chines and/or best ends,
65302,35102,0204423010,Of domestic sheep,
65402,35102,0204423090,Other,
35202,11802,0204425000,Legs,
65502,35202,0204425010,Of domestic sheep,
65602,35202,0204425090,Other,
35302,11802,0204429000,Other,
65702,35302,0204429010,Of domestic sheep,
65802,35302,0204429090,Other,
11902,2702,0204430000,Boneless,
35602,11902,0204431000,Of lamb,
65902,35602,0204431010,Of domestic sheep,
66002,35602,0204431090,Other,
35702,11902,0204439000,Other,
66102,35702,0204439010,Of domestic sheep,
66202,35702,0204439090,Other,
2802,702,0204500000,Meat of goats,
12002,2802,,Fresh or chilled,
35802,12002,0204501100,Carcases and half-carcases,
35902,12002,0204501300,Short forequarters,
36002,12002,0204501500,Chines and/or best ends,
36102,12002,0204501900,Legs,
36202,12002,,Other,
66302,36202,0204503100,Cuts with bone in,
81902,36202,0204503900,Boneless cuts,
89602,81902,0204503910,Goatmeat of kid,
89702,81902,0204503990,Other,
12102,2802,,Frozen,
36302,12102,0204505100,Carcases and half-carcases,
36402,12102,0204505300,Short forequarters,
36502,12102,0204505500,Chines and/or best ends,
36602,12102,0204505900,Legs,
36702,12102,,Other,
66602,36702,0204507100,Cuts with bone in,
82002,36702,0204507900,Boneless cuts,
89802,82002,0204507910,Goatmeat of kid,
89902,82002,0204507990,Other,
1502,302,0205000000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",
7002,1502,0205002000,Fresh or chilled,
7202,1502,0205008000,Frozen,
1002,302,0206000000,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",
3702,1002,0206100000,"Of bovine animals, fresh or chilled",
12802,3702,0206101000,For the manufacture of pharmaceutical products,
13002,3702,,Other,
36902,13002,0206109500,Thick skirt and thin skirt,
67002,36902,,Of high quality,
90002,67002,0206109511,Of bison,
90102,67002,0206109515,Other,
67202,36902,,Other,
90202,67202,0206109591,Of bison,
90302,67202,0206109599,Other,
37002,13002,0206109800,Other,
3802,1002,,"Of bovine animals, frozen",
13102,3802,0206210000,Tongues,
13202,3802,0206220000,Livers,
13402,3802,0206290000,Other,
37402,13402,0206291000,For the manufacture of pharmaceutical products,
37502,13402,,Other,
82102,37502,0206299100,Thick skirt and thin skirt,
90602,82102,,Of high quality,
115202,90602,,"Thin skirt, whole",
131302,115202,0206299111,Of bison,
131402,115202,0206299115,Other,
115502,90602,,Other,
131702,115502,0206299121,Of bison,
131902,115502,0206299129,Other,
90902,82102,,Other,
115802,90902,,"Thin skirt, whole",
132202,115802,,Intended for processing,
138602,132202,,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
140602,138602,0206299133,Of bison,
140702,138602,0206299135,Other,
138902,132202,,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
140802,138902,0206299137,Of bison,
140902,138902,0206299138,Other,
139002,132202,,Other,
141002,139002,0206299141,Of bison,
141102,139002,0206299142,Other,
132402,115802,,Other,
139102,132402,0206299144,Of bison,
139202,132402,0206299145,Other,
116002,90902,,Other,
132602,116002,,Intended for processing,
139402,132602,,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
141202,139402,0206299151,Of bison,
141302,139402,0206299159,Other,
139602,132602,,"For the manufacture of other products than products falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
141402,139602,0206299161,Of bison,
141502,139602,0206299169,Other,
139802,132602,,Other,
141602,139802,0206299171,Of bison,
141702,139802,0206299179,Other,
132802,116002,,Other,
139902,132802,0206299191,Of bison,
140002,132802,0206299199,Other,
67502,37502,0206299900,Other,
3902,1002,0206300000,"Of swine, fresh or chilled",
13502,3902,0206300010,Of domestic swine,
13602,3902,0206300090,Other,
4002,1002,,"Of swine, frozen",
14102,4002,0206410000,Livers,
38002,14102,0206410010,Of domestic swine,
38102,14102,0206410090,Other,
14202,4002,0206490000,Other,
4102,1002,0206800000,"Other, fresh or chilled",
14402,4102,0206801000,For the manufacture of pharmaceutical products,
14502,4102,,Other,
39002,14502,0206809100,"Of horses, asses, mules and hinnies",
39102,14502,0206809900,Of sheep and goats,
4202,1002,0206900000,"Other, frozen",
14602,4202,0206901000,For the manufacture of pharmaceutical products,
14702,4202,,Other,
39202,14702,0206909100,"Of horses, asses, mules and hinnies",
39302,14702,0206909900,Of sheep and goats,
1102,302,0207000000,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",
4402,1102,,Of fowls of the species Gallus domesticus,
15302,4402,0207110000,"Not cut in pieces, fresh or chilled",
40402,15302,0207111000,"Plucked and gutted, with heads and feet, known as '83 % chickens'",
40502,15302,0207113000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70 % chickens'",
40602,15302,0207119000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '65 % chickens', or otherwise presented",
15402,4402,0207120000,"Not cut in pieces, frozen",
40702,15402,0207121000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '70 % chickens'",
40802,15402,0207129000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '65 % chickens', or otherwise presented",
15502,4402,0207130000,"Cuts and offal, fresh or chilled",
40902,15502,,Cuts,
68202,40902,0207131000,Boneless,
68302,40902,,With bone in,
91002,68302,0207132000,Halves or quarters,
91102,68302,0207133000,"Whole wings, with or without tips",
91202,68302,0207134000,"Backs, necks, backs with necks attached, rumps and wing-tips",
91302,68302,0207135000,Breasts and cuts thereof,
91402,68302,0207136000,Legs and cuts thereof,
91502,68302,0207137000,Other,
41002,15502,,Offal,
68402,41002,0207139100,Livers,
68502,41002,0207139900,Other,
15602,4402,0207140000,"Cuts and offal, frozen",
41102,15602,,Cuts,
68602,41102,0207141000,Boneless,
68702,41102,,With bone in,
91602,68702,0207142000,Halves or quarters,
91702,68702,0207143000,"Whole wings, with or without tips",
91802,68702,0207144000,"Backs, necks, backs with necks attached, rumps and wing-tips",
91902,68702,0207145000,Breasts and cuts thereof,
92002,68702,0207146000,Legs and cuts thereof,
92102,68702,0207147000,Other,
41202,15602,,Offal,
68802,41202,0207149100,Livers,
68902,41202,0207149900,Other,
4602,1102,,Of turkeys,
16002,4602,0207240000,"Not cut in pieces, fresh or chilled",
42002,16002,0207241000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '80 % turkeys'",
42102,16002,0207249000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '73 % turkeys', or otherwise presented",
16102,4602,0207250000,"Not cut in pieces, frozen",
42202,16102,0207251000,"Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as '80 % turkeys'",
42302,16102,0207259000,"Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as '73 % turkeys', or otherwise presented",
16202,4602,0207260000,"Cuts and offal, fresh or chilled",
42402,16202,,Cuts,
69402,42402,0207261000,Boneless,
69502,42402,,With bone in,
92202,69502,0207262000,Halves or quarters,
92302,69502,0207263000,"Whole wings, with or without tips",
92402,69502,0207264000,"Backs, necks, backs with necks attached, rumps and wing-tips",
92502,69502,0207265000,Breasts and cuts thereof,
